"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","639","get created user","HRM-Pet-project","2026-08-25","passed","2026-08-25","","","",""
"","877","Logged in","HRM-Pet-project","2026-08-25","passed","2026-08-25","","","",""
"","1148","check availability","HRM-Pet-project","2026-08-25","passed","2026-08-25","","","",""
"","646","Create user","HRM-Pet-project","2026-08-25","passed","2026-08-25","","","",""
"","629","New Request","HRM-Pet-project","2026-08-25","passed","2026-08-25","","","",""
"","642","Auth","HRM-Pet-project","2026-08-25","passed","2026-08-25","","","",""
